yyyymm,index,D12,E12,BM,TBL,AAA,BAA,LTY,NTIS,Rfree,INFL,LTR,corpr,SVAR,csp,Stockreturn,RET,DP,DY,EP,DFY,DFR
1927-01-01,13.21,0.6967,1.229,0.4437056454,0.0323,0.0466,0.0561,0.0351,0.0508237847,0.0025,-0.011299435,0.0075,0.0056,0.0004698947,,-0.00291,-0.005579,-0.35849037694606384,0.009663304444768206,0.20911083058389784,0.009499999999999995,0.0276
1927-02-01,13.84,0.7033,1.218,0.4285008644,0.0329,0.0467,0.0559,0.0347,0.0516676427,0.0026,-0.0057142857,0.0088,0.0069,0.0002873343,,0.045522,0.040566,-0.3974937356681644,0.009428641277899441,0.15168816928770526,0.0092,0.0259
1927-03-01,13.93,0.71,1.208,0.4697651174,0.032,0.0462,0.0554,0.0331,0.046356576,0.003,-0.0057471264,0.0253,0.0083,0.0009241928,,0.007324,0.00261,-0.349814308946776,0.009481426721388408,0.18164209951262317,0.0092,0.007799999999999998
1927-04-01,14.17,0.7167,1.197,0.4567541302,0.0339,0.0458,0.0548,0.0333,0.0505140243,0.0025,0.0,-0.0005,0.0055,0.0006025886,,0.013021,0.010907,-0.3461189359822635,0.009392372964512508,0.16679742657583616,0.009000000000000001,0.033800000000000004
1927-05-01,14.91,0.7233,1.186,0.4347826087,0.0333,0.0457,0.055,0.0327,0.0552753898,0.003,0.0057803468,0.0109,-0.0011,0.0003917338,,0.062353,0.057096,-0.3862842051269019,0.009166730855361571,0.10823330057553368,0.009300000000000003,0.0218
1927-06-01,14.77,0.73,1.175,0.4523852494,0.0307,0.0458,0.0555,0.0334,0.0588219162,0.0026,0.0114942529,-0.0069,0.0043,0.000824577,,-0.02037,-0.025705,-0.29434074483970024,0.009220460287201693,0.18163814759612232,0.0097,0.0403
1927-07-01,15.73,0.7367,1.164,0.414553473,0.0296,0.046,0.0555,0.0333,0.0597499253,0.003,-0.0170454545,0.005,0.0003,0.0004257798,,0.08445,0.081687,-0.39002452529336906,0.009136219546331148,0.06741234930924603,0.009500000000000001,0.028300000000000002
1927-08-01,16.43,0.7433,1.153,0.3962274092,0.027,0.0456,0.0548,0.0329,0.0545217717,0.0028,-0.0057803468,0.0076,0.0083,0.0012764139,,0.03332,0.028624,-0.32997554725088935,0.008918978042479764,0.10904724128692199,0.0092,0.0253
1927-09-01,17.14,0.75,1.143,0.380586062,0.0268,0.0454,0.0542,0.033,0.0946129771,0.0021,0.0058139535,0.0018,0.0149,0.0011233495,,0.053016,0.049095,-0.3406980724517809,0.008973474799108427,0.0806403848126736,0.008799999999999995,0.031200000000000002
1927-10-01,16.23,0.7567,1.132,0.4138006933,0.0308,0.0451,0.0538,0.0325,0.0943667354,0.0025,0.0057803468,0.0099,0.0055,0.0015593375,,-0.046804,-0.04896,-0.2319844052816611,0.008893667170119801,0.17078997978099109,0.0087,0.022600000000000002
1927-11-01,17.33,0.7633,1.121,0.3793955905,0.0304,0.0449,0.0535,0.032,0.0822671859,0.0021,-0.0057471264,0.0097,0.0068,0.0009296591,,0.070546,0.06427,-0.3406501401777124,0.008684265103948707,0.04367514409002286,0.008599999999999997,0.0223
1927-12-01,17.66,0.77,1.11,0.3746885899,0.0317,0.0446,0.0532,0.0316,0.0764711093,0.0022,0.0,0.0072,0.0068,0.0006042041,,0.019295,0.014403,-0.2806597641344075,0.00873937604330488,0.08506501532424285,0.008599999999999997,0.024400000000000005
1928-01-01,17.57,0.7767,1.133,0.3786696208,0.0331,0.0446,0.0535,0.0321,0.0626014543,0.0025,0.0,-0.0036,0.0027,0.0008605259,,-0.007182,-0.0092,-0.24551910355653547,0.008663660577872045,0.13205098204586926,0.008899999999999998,0.035699999999999996
1928-02-01,17.26,0.7833,1.155,0.3860765992,0.0333,0.0446,0.0533,0.0318,0.0551726339,0.0033,-0.0115606936,0.0061,0.0068,0.0006911239,,-0.012549,-0.016679,-0.2316905146089442,0.008461588947591275,0.15664934397375688,0.0087,0.0257
1928-03-01,19.13,0.79,1.177,0.363254838,0.0327,0.0446,0.0532,0.0317,0.0543639372,0.0029,0.0,0.0045,0.0041,0.0013810077,,0.105752,0.101652,-0.3414743335210698,0.00851718108787436,0.05721682827813972,0.008599999999999997,0.0272
1928-04-01,19.75,0.7967,1.2,0.3680952606,0.0362,0.0446,0.0533,0.0319,0.0493720638,0.0022,0.0,-0.0004,0.0014,0.0014879603,,0.034725,0.032715,-0.26200208259581675,0.008445250925253084,0.1475965567939546,0.0087,0.032299999999999995
1928-05-01,20.00,0.8033,1.222,0.3543969792,0.039,0.0449,0.0542,0.0327,0.0471873758,0.0032,0.0058479532,-0.0077,-0.0078,0.0018988588,,0.012325,0.007422,-0.23135203580237018,0.00825004679344657,0.18816386074940356,0.009299999999999996,0.0404
1928-06-01,19.19,0.81,1.245,0.3702999477,0.0392,0.0457,0.0555,0.0326,0.0502987889,0.0031,-0.0058139535,0.0041,-0.0024,0.0036454766,,-0.03433,-0.038725,-0.17639103131565254,0.008306004486717644,0.25346552991667104,0.009800000000000003,0.028499999999999998
1928-07-01,19.43,0.8167,1.268,0.3606481481,0.0412,0.0461,0.0558,0.0344,0.0593803298,0.0032,0.0,-0.0217,-0.001,0.0016749799,,0.010117,0.008278,-0.21260044861790706,0.008237582697745466,0.22732385601503421,0.0097,0.0561
1928-08-01,20.87,0.8233,1.29,0.3240297825,0.0436,0.0464,0.0561,0.0341,0.0573989063,0.0032,0.0,0.0076,0.0083,0.0012293169,,0.07023,0.065514,-0.2646646246777567,0.008048823940150385,0.18441221837358074,0.0097,0.0265
1928-09-01,21.37,0.83,1.312,0.3281658101,0.0457,0.0461,0.0559,0.0346,0.0279800569,0.0027,0.0116959064,-0.0041,0.003,0.0006504642,,0.022409,0.019937,-0.2087385781914935,0.008105046486263201,0.24914369052189733,0.009799999999999996,0.0387
1928-10-01,21.68,0.8367,1.335,0.3089308376,0.047,0.0461,0.0558,0.0336,0.0340193716,0.0041,-0.0057803468,0.0158,0.0083,0.0006788455,,0.013839,0.012055,-0.19212869568058408,0.008039882510909396,0.27509229185221284,0.0097,0.017799999999999996
1928-11-01,24.28,0.8433,1.357,0.2655259391,0.0426,0.0458,0.0555,0.0338,0.0383720096,0.0038,0.0,0.0003,-0.0036,0.0015232957,,0.122975,0.116704,-0.2934075124015411,0.007857183279042973,0.18230138085273206,0.0097,0.033499999999999995
1928-12-01,24.35,0.85,1.38,0.2596666667,0.0426,0.0461,0.056,0.034,0.0630687383,0.0006,-0.0058139535,0.0004,0.0084,0.00407747,,0.006232,0.002888,-0.16875092949777493,0.007913582903766175,0.3158514991691132,0.009899999999999999,0.033600000000000005
1929-01-01,25.74,0.86,1.399,0.2453466033,0.0466,0.0462,0.0563,0.0349,0.0784486564,0.0034,0.0,-0.009,0.0043,0.0017008226,,0.055473,0.053892,-0.20629588973458365,0.01169603976319128,0.28028469568334413,0.010100000000000005,0.0439
1929-02-01,25.59,0.87,1.418,0.2454238997,0.0439,0.0466,0.0566,0.0363,0.0717831373,0.0036,0.0,-0.0157,0.003,0.0026701165,,-0.004874,-0.008075,-0.13438806733350767,0.011560822401076004,0.3541214281099357,0.009999999999999995,0.052
1929-03-01,25.53,0.88,1.438,0.2723004695,0.046,0.047,0.0579,0.0377,0.0798045664,0.0034,-0.0058479532,-0.0144,-0.0087,0.0036114071,,0.000154,-0.003213,-0.12798737150988487,0.01142869582362277,0.3630992592988549,0.0109,0.052099999999999994
1929-04-01,25.94,0.89,1.457,0.2633969119,0.048,0.0469,0.058,0.0358,0.0993226329,0.0036,-0.0058823529,0.0275,0.0019,0.0023043615,,0.019559,0.018234,-0.13609281625595152,0.011299555253933377,0.35682052721306784,0.011100000000000006,0.008299999999999998
1929-05-01,24.83,0.9,1.476,0.2827746209,0.0509,0.047,0.058,0.0373,0.1179866681,0.0044,0.0059171598,-0.0162,0.0045,0.0047598084,,-0.041281,-0.046101,-0.06407951565782628,0.011173300598125227,0.43061672617828073,0.011000000000000003,0.0535
1929-06-01,27.62,0.91,1.495,0.2535805819,0.048,0.0477,0.0594,0.0367,0.1161973604,0.0052,0.0058823529,0.011,-0.0046,0.0013403801,,0.112294,0.109584,-0.20660467947124128,0.011049836186584991,0.2898322068426498,0.011700000000000002,0.025700000000000004
1929-07-01,28.88,0.92,1.514,0.2418751798,0.0455,0.0477,0.0595,0.0369,0.1106879396,0.0033,0.0116959064,0.0,0.002,0.0012818127,,0.050014,0.048186,-0.133395608939051,0.010929070532190277,0.36474115501525706,0.011799999999999998,0.0369
1929-08-01,31.71,0.93,1.533,0.2211237609,0.047,0.0479,0.0604,0.0375,0.115277315,0.004,0.0,-0.0034,0.002,0.003382102,,0.094871,0.090733,-0.16744169283483537,0.01081091610421564,0.33235559988967706,0.012500000000000004,0.0409
1929-09-01,30.16,0.94,1.552,0.2448682487,0.0458,0.048,0.0612,0.0375,0.1213901177,0.0035,0.0,0.0027,0.0034,0.0033922824,,-0.050941,-0.053046,-0.01093440371808753,0.010695289116747844,0.49048542176102705,0.013199999999999996,0.0348
1929-10-01,24.15,0.95,1.572,0.307484187,0.0437,0.0477,0.0611,0.0347,0.159611836,0.0046,0.0,0.0382,0.0073,0.0535075427,,-0.18615,-0.188115,0.13485670561244945,0.010582109330536951,0.6384986940070149,0.013400000000000002,-0.003499999999999996
1929-11-01,20.92,0.96,1.591,0.3519564763,0.0347,0.0476,0.0603,0.0331,0.1770397921,0.0037,0.0,0.0236,-0.0018,0.0364487459,,-0.125359,-0.130374,0.08453700547974483,0.010471299867295412,0.5897217493556498,0.012699999999999996,0.009499999999999998
1929-12-01,21.45,0.97,1.61,0.3384578236,0.0303,0.0467,0.0595,0.034,0.1635221721,0.0037,-0.0057803468,-0.0089,0.0192,0.0102146296,,0.027753,0.023571,-0.058212207484708574,0.010362787035546592,0.44848117899637174,0.012799999999999999,0.0429
